table
Date, Status, Certified, Expires, Probation, Cert #
7-01-2015, Certified, 11-18-1994, null, null, MJA2024
11-18-1994, Lapsed, 11-18-1994, 7-01-2015, null, 001160
4-04-1994, Lapsed, 3-29-1994, null, null, 001579

kv
Service,2
Years,306
Date,10-16-2016
Action,Transfer
Assignment,St Albans Barracks
Class,Level III
Shift,VT State Police
Service,3
Years,151
Date,5-19-2013
Action,Promotion
Pos/Rank,Detective Sergeant
Class,Full-Time
Shift,VT State Police
Years,183
Date,11-18-2011
Action,Promotion
Pos/Rank,Sergeant
Class,Full-Time
Shift,
Service,11
Years,109
Date,5-01-2008
Action,Appointed
Shift,VT State Police
Service,15
Years,
Date,10-21-1996
Action,Appointed
Pos/Rank,Trooper
Class,Full-Time
Shift,
Date,10-21-1996
Action,Terminated (Not Specified)
Status,Inactive
Days,
Status,Active
Level,
Days,
Status,Active
Assignment,
Level,
Service,1
Days,
Status,Active
Assignment,
Level,
Days,
Status,Active
Assignment,
Pos/Rank,
Level,
Class,
Days,
Status,Active
Assignment,Pos/Rank
Level,

