text,x0,y0,x1,y1,page
University of Utah,24.0,42.13200000000006,126.65280000000001,54.13200000000006,1
Date,645.78,45.999000000000024,664.7772,54.999000000000024,1
07/31/2020,674.3154,45.999000000000024,719.319,54.999000000000024,1
General Stores,23.999700000000075,55.23929999999996,87.9915000000001,64.23929999999996,1
Page,645.78,57.99959999999999,666.7329,66.99959999999999,1
1,674.274,57.99959999999999,679.278,66.99959999999999,1
Cylinder Billing Report,23.999700000000075,67.23990000000003,121.53720000000008,76.23990000000003,1
BarCode,24.78,85.85400000000004,58.053000000000004,94.85400000000004,1
Gas,132.7818,85.85400000000004,147.5238,94.85400000000004,1
Size,222.7755,85.85400000000004,238.57949999999997,94.85400000000004,1
CO #,294.77279999999996,85.85400000000004,315.92279999999994,94.85400000000004,1
PO #CDLocation,366.7898999999999,85.85400000000004,429.50999999999993,94.85400000000004,1
Demurrage,600.7872,85.85400000000004,645.1211999999999,94.85400000000004,1
Delivery Code,669.0,85.85400000000004,723.7199999999999,94.85400000000004,1
Chart,22.5,105.35399999999998,47.278800000000004,114.35399999999998,1
01000186000250726250112021,62.28,106.13399999999996,211.33800000000008,115.13399999999996,1
2011AM4rug4so,30.0,121.13399999999996,63.5013,131.63399999999996,1
Argon,87.0,122.63399999999996,110.52600000000001,131.63399999999996,1
K/UU,187.5,122.63399999999996,208.03799999999998,131.63399999999996,1
0439552,281.28,122.63399999999996,315.67799999999994,131.63399999999996,1
MUSEUM DOCK,399.0,122.63399999999996,460.73999999999995,131.63399999999996,1
4.96,636.0,122.63399999999996,653.4689999999999,131.63399999999996,1
0872050030,664.5,122.63399999999996,713.64,131.63399999999996,1
2025M9u6s,30.0,137.63399999999996,60.967200000000005,148.13399999999996,1
Acetylene - B,87.0,139.13399999999996,139.52399999999997,148.13399999999996,1
0478155,281.28,139.13399999999996,315.67799999999994,148.13399999999996,1
301 Wakara Way NHMU,399.0,139.13399999999996,494.454,148.13399999999996,1
6.20,636.0,139.13399999999996,653.4689999999999,148.13399999999996,1
0872050030,664.5,139.13399999999996,713.64,148.13399999999996,1
2027M0u3s,30.0,154.13399999999996,60.967200000000005,164.63399999999996,1
25%Co2 75%Argon,87.0,155.63399999999996,165.79500000000002,164.63399999999996,1
0435989,281.28,155.63399999999996,315.67799999999994,164.63399999999996,1
301 WAKARA,399.0,155.63399999999996,451.758,164.63399999999996,1
4.96,636.0,155.63399999999996,653.4689999999999,164.63399999999996,1
0872050030,664.5,155.63399999999996,713.64,164.63399999999996,1
2033M4u8s,30.0,170.63399999999996,60.967200000000005,181.13399999999996,1
Acetylene - B,87.0,172.13399999999996,139.52399999999997,181.13399999999996,1
0439552,281.28,172.13399999999996,315.67799999999994,181.13399999999996,1
MUSEUM DOCK,399.0,172.13399999999996,460.73999999999995,181.13399999999996,1
4.96,636.0,172.13399999999996,653.4689999999999,181.13399999999996,1
0872050030,664.5,172.13399999999996,713.64,181.13399999999996,1
